Satellite,Epoch Time,x,y,z
GPS19,2009-06-30 22:00:00,12618398.60801462,-9017316.107870724,21601328.878546845
GPS20,2009-06-30 00:00:00,12946379.556240087,-13682785.252070088,-18834020.95054268
GPS20,2009-06-30 01:59:44,12946409.60281691,-13682349.81100898,-18834317.78490415
GPS20,2009-06-30 02:00:00,12946408.361817561,-13682347.855225984,-18834319.987215396
GPS20,2009-06-30 03:59:44,12946606.181101197,-13682271.788026905,-18834256.64356823
GPS20,2009-06-30 06:00:00,12946417.716810253,-13682491.167818813,-18834215.989924848
GPS20,2009-06-30 08:00:00,12945009.268724317,-13683245.327657294,-18834552.527910236
GPS20,2009-06-30 10:00:00,12945685.944446132,-13683147.80898471,-18834176.20992207
GPS20,2009-06-30 12:00:00,12944995.749382535,-13683919.222564332,-18834093.116392735
GPS20,2009-06-30 14:00:00,12945747.59558744,-13683696.166166693,-18833734.952704232
GPS20,2009-06-30 16:00:00,12946203.327800462,-13683530.792548938,-18833550.305566512
GPS20,2009-06-30 18:00:00,12947307.766540375,-13683312.525955321,-18832965.10504557
GPS20,2009-06-30 20:00:00,12946224.442197047,-13684068.486245515,-18833074.824097086
GPS20,2009-06-30 22:00:00,12947722.166545065,-13683512.604223045,-18832463.081034753
GPS21,2009-06-30 00:00:00,-958968.3145171853,21891996.087858498,14821647.994056588
GPS21,2009-06-30 02:00:00,-959167.584380528,21891128.406729974,14822968.790735485
GPS21,2009-06-30 04:00:00,-960462.4769537336,21891700.89589645,14822093.538948592
GPS21,2009-06-30 05:59:44,-959498.5683419062,21892182.7011627,14821451.53232414
GPS21,2009-06-30 06:00:00,-959496.3923682631,21892183.475785717,14821450.622248389
GPS21,2009-06-30 07:59:44,-959227.5876322221,21893036.59620348,14820202.553468222
GPS21,2009-06-30 10:00:00,-957159.7536898114,21892236.243031334,14821575.466507418
GPS21,2009-06-30 12:00:00,-957798.123779715,21892257.78914325,14821495.801953347
GPS21,2009-06-30 14:00:00,-958218.1646882292,21891636.28339151,14822420.321712093
GPS21,2009-06-30 16:00:00,-960435.5948985729,21892429.254211757,14821119.957873957
GPS21,2009-06-30 18:00:00,-960586.139999195,21892748.198505655,14820647.161873484
GPS21,2009-06-30 20:00:00,-960441.0565310682,21893687.481431354,14819252.853327196
GPS21,2009-06-30 22:00:00,-957693.7627895663,21892452.57188343,14821335.690108234
GPS22,2009-06-30 00:00:00,18091505.307326544,12289275.174118303,15283619.051257538
GPS22,2009-06-30 01:59:44,18091616.773174882,12289016.036391163,15283694.657127418
GPS22,2009-06-30 02:00:00,18091618.228697166,12289013.581714464,15283694.945121717
GPS22,2009-06-30 03:59:44,18092437.60293545,12288714.926518077,15282939.19322582
GPS22,2009-06-30 06:00:00,18092065.651155025,12289672.407149384,15282687.319107872
GPS22,2009-06-30 08:00:00,18092189.090903696,12289804.726886682,15282450.692486152
GPS22,2009-06-30 10:00:00,18091984.328038562,12289770.687904473,15282738.389518041
GPS22,2009-06-30 12:00:00,18092142.373930454,12289293.700023867,15282936.051186927
GPS22,2009-06-30 14:00:00,18091515.263770908,12290234.898331977,15282924.066914475
GPS22,2009-06-30 16:00:00,18092304.69940381,12289935.435694903,15282192.433562605
GPS22,2009-06-30 18:00:00,18091242.787005667,12290948.624073453,15282712.898216866
GPS22,2009-06-30 20:00:00,18090980.46864321,12290684.115435842,15283240.906342728
GPS22,2009-06-30 22:00:00,18090492.353715435,12290759.34948306,15283773.74847746
GPS23,2009-06-30 00:00:00,4687146.240011767,-18271907.977448758,-18622912.15784306
GPS23,2009-06-30 02:00:00,4686733.149709455,-18272034.9998305,-18622888.302631404
GPS23,2009-06-30 04:00:00,4686794.878249491,-18272030.455810215,-18622895.60988451
GPS23,2009-06-30 06:00:00,4686720.425989339,-18272381.46115039,-18622514.167876393
GPS23,2009-06-30 08:00:00,4685345.940435978,-18272948.85642576,-18622190.780461077
GPS23,2009-06-30 10:00:00,4685985.508489927,-18272354.152346656,-18622643.609459713
GPS23,2009-06-30 12:00:00,4686089.21328789,-18272193.314720932,-18622777.67582375
GPS23,2009-06-30 14:00:00,4686175.395839352,-18273120.319310404,-18621838.909285605
GPS23,2009-06-30 16:00:00,4686057.378916023,-18273308.13091841,-18621694.615195528
GPS23,2009-06-30 18:00:00,4686749.243565688,-18273579.11829508,-18621213.39227393
GPS23,2009-06-30 20:00:00,4685978.220609642,-18274376.551328823,-18620497.412749194
GPS23,2009-06-30 21:59:44,4687321.53776286,-18273097.38091594,-18621450.017211128
GPS23,2009-06-30 23:00:00,4687073.359912571,-18272893.8741818,-18621716.087856397
GPS23,2009-06-30 23:59:44,4686875.047569481,-18272302.533802614,-18622352.943248406
GPS24,2009-06-30 00:00:00,-12660456.8017532,23225776.251873303,3754853.552736575
GPS24,2009-06-30 02:00:00,-12660588.600179754,23225543.500413295,3755879.723809435
GPS24,2009-06-30 03:59:44,-12661033.702120055,23225396.883539755,3755321.9203235414
GPS24,2009-06-30 04:00:00,-12661031.00103217,23225397.579711337,3755325.8587911082
GPS24,2009-06-30 05:59:44,-12660398.541256506,23225598.74672969,3755988.346723655
GPS24,2009-06-30 08:00:00,-12660002.347050872,23225891.671037126,3755617.418755028
GPS24,2009-06-30 10:00:00,-12659807.688663954,23225989.270231873,3755594.8342908556
