Satellite,Epoch Time,Parameter,Value
QZSS02,2021-03-19 02:00:00,Cus,8.251518011093e-06
QZSS02,2021-03-19 02:00:00,sqrtA,6493.672887802
QZSS02,2021-03-19 02:00:00,Toe,439200.0
QZSS02,2021-03-19 02:00:00,Cic,-7.82310962677e-08
QZSS02,2021-03-19 02:00:00,Omega0,1.724538224979
QZSS02,2021-03-19 02:00:00,Cis,-6.426125764847e-07
QZSS02,2021-03-19 02:00:00,Io,0.7417635595553
QZSS02,2021-03-19 02:00:00,Crc,-158.09375
QZSS02,2021-03-19 02:00:00,omega,-1.566657746178
QZSS02,2021-03-19 02:00:00,OmegaDot,-2.39688555419e-09
QZSS02,2021-03-19 02:00:00,IDOT,-1.135761594744e-10
QZSS02,2021-03-19 02:00:00,CodesL2,2.0
QZSS02,2021-03-19 02:00:00,GPSWeek,2149.0
QZSS02,2021-03-19 02:00:00,L2Pflag,0.0
QZSS02,2021-03-19 02:00:00,SVacc,2.8
QZSS02,2021-03-19 02:00:00,health,0.0
QZSS02,2021-03-19 02:00:00,TGD,9.313225746155e-10
QZSS02,2021-03-19 02:00:00,IODC,805.0
QZSS02,2021-03-19 02:00:00,TransTime,435606.0
QZSS02,2021-03-19 02:00:00,FitIntvl,0.0
QZSS03,2021-03-19 02:00:00,SVclockBias,-1.939479261637e-06
QZSS03,2021-03-19 02:00:00,SVclockDrift,-5.684341886081e-13
QZSS03,2021-03-19 02:00:00,SVclockDriftRate,0.0
QZSS03,2021-03-19 02:00:00,IODE,37.0
QZSS03,2021-03-19 02:00:00,Crs,-479.71875
QZSS03,2021-03-19 02:00:00,DeltaN,1.939366496685e-10
QZSS03,2021-03-19 02:00:00,M0,1.191514651345
QZSS03,2021-03-19 02:00:00,Cuc,-1.580454409122e-05
QZSS03,2021-03-19 02:00:00,Eccentricity,0.07447958400007
QZSS03,2021-03-19 02:00:00,Cus,4.898756742477e-07
QZSS03,2021-03-19 02:00:00,sqrtA,6493.27945137
QZSS03,2021-03-19 02:00:00,Toe,439200.0
QZSS03,2021-03-19 02:00:00,Cic,2.823770046234e-06
QZSS03,2021-03-19 02:00:00,Omega0,-2.8583760232
QZSS03,2021-03-19 02:00:00,Cis,-2.395361661911e-06
QZSS03,2021-03-19 02:00:00,Io,0.7128648549169
QZSS03,2021-03-19 02:00:00,Crc,189.03125
QZSS03,2021-03-19 02:00:00,omega,-1.572153881125
QZSS03,2021-03-19 02:00:00,OmegaDot,-3.86087510666e-10
QZSS03,2021-03-19 02:00:00,IDOT,2.710827202548e-10
QZSS03,2021-03-19 02:00:00,CodesL2,2.0
QZSS03,2021-03-19 02:00:00,GPSWeek,2149.0
QZSS03,2021-03-19 02:00:00,L2Pflag,0.0
QZSS03,2021-03-19 02:00:00,SVacc,2.8
QZSS03,2021-03-19 02:00:00,health,0.0
QZSS03,2021-03-19 02:00:00,TGD,0.0
QZSS03,2021-03-19 02:00:00,IODC,805.0
QZSS03,2021-03-19 02:00:00,TransTime,435606.0
QZSS03,2021-03-19 02:00:00,FitIntvl,0.0
QZSS07,2021-03-19 03:00:00,SVclockBias,-1.396983861923e-08
QZSS07,2021-03-19 03:00:00,SVclockDrift,0.0
QZSS07,2021-03-19 03:00:00,SVclockDriftRate,0.0
QZSS07,2021-03-19 03:00:00,IODE,41.0
QZSS07,2021-03-19 03:00:00,Crs,-385.5
QZSS07,2021-03-19 03:00:00,DeltaN,0.0
QZSS07,2021-03-19 03:00:00,M0,-0.2130738938972
QZSS07,2021-03-19 03:00:00,Cuc,-1.263804733753e-05
QZSS07,2021-03-19 03:00:00,Eccentricity,0.0001413318095729
QZSS07,2021-03-19 03:00:00,Cus,5.980953574181e-06
QZSS07,2021-03-19 03:00:00,sqrtA,6493.447450638
QZSS07,2021-03-19 03:00:00,Toe,442800.0
QZSS07,2021-03-19 03:00:00,Cic,-1.026317477226e-06
QZSS07,2021-03-19 03:00:00,Omega0,0.3839983515527
QZSS07,2021-03-19 03:00:00,Cis,-1.518055796623e-06
QZSS07,2021-03-19 03:00:00,Io,0.001254096763878
QZSS07,2021-03-19 03:00:00,Crc,-178.1875
QZSS07,2021-03-19 03:00:00,omega,2.920029839604
QZSS07,2021-03-19 03:00:00,OmegaDot,1.016470911522e-09
QZSS07,2021-03-19 03:00:00,IDOT,0.0
QZSS07,2021-03-19 03:00:00,CodesL2,2.0
QZSS07,2021-03-19 03:00:00,GPSWeek,2149.0
QZSS07,2021-03-19 03:00:00,L2Pflag,0.0
QZSS07,2021-03-19 03:00:00,SVacc,2.8
QZSS07,2021-03-19 03:00:00,health,0.0
QZSS07,2021-03-19 03:00:00,TGD,-5.587935447693e-09
QZSS07,2021-03-19 03:00:00,IODC,809.0
QZSS07,2021-03-19 03:00:00,TransTime,439206.0
QZSS07,2021-03-19 03:00:00,FitIntvl,0.0
QZSS01,2021-03-19 03:00:00,SVclockBias,-0.0003563156351447
QZSS01,2021-03-19 03:00:00,SVclockDrift,-3.410605131648e-12
QZSS01,2021-03-19 03:00:00,SVclockDriftRate,0.0
QZSS01,2021-03-19 03:00:00,IODE,41.0
QZSS01,2021-03-19 03:00:00,Crs,-74.59375
QZSS01,2021-03-19 03:00:00,DeltaN,2.650824703203e-09
QZSS01,2021-03-19 03:00:00,M0,-0.8523744707609
QZSS01,2021-03-19 03:00:00,Cuc,-2.395361661911e-06
QZSS01,2021-03-19 03:00:00,Eccentricity,0.07490605907515
QZSS01,2021-03-19 03:00:00,Cus,3.296881914139e-06
QZSS01,2021-03-19 03:00:00,sqrtA,6492.967487335
QZSS01,2021-03-19 03:00:00,Toe,442800.0
QZSS01,2021-03-19 03:00:00,Cic,-4.544854164124e-07
QZSS01,2021-03-19 03:00:00,Omega0,-0.5584014499246
QZSS01,2021-03-19 03:00:00,Cis,1.467764377594e-06
QZSS01,2021-03-19 03:00:00,Io,0.7311118262679
QZSS01,2021-03-19 03:00:00,Crc,62.875
QZSS01,2021-03-19 03:00:00,omega,-1.572085890545
QZSS01,2021-03-19 03:00:00,OmegaDot,-2.738685505816e-09
QZSS01,2021-03-19 03:00:00,IDOT,-2.889406069646e-10
QZSS01,2021-03-19 03:00:00,CodesL2,2.0
QZSS01,2021-03-19 03:00:00,GPSWeek,2149.0
QZSS01,2021-03-19 03:00:00,L2Pflag,0.0
QZSS01,2021-03-19 03:00:00,SVacc,2.8
QZSS01,2021-03-19 03:00:00,health,0.0
QZSS01,2021-03-19 03:00:00,TGD,-5.587935447693e-09
QZSS01,2021-03-19 03:00:00,IODC,809.0
QZSS01,2021-03-19 03:00:00,TransTime,439206.0
QZSS01,2021-03-19 03:00:00,FitIntvl,0.0
QZSS02,2021-03-19 03:00:00,SVclockBias,3.637280315161e-06
QZSS02,2021-03-19 03:00:00,SVclockDrift,6.821210263297e-13
QZSS02,2021-03-19 03:00:00,SVclockDriftRate,0.0
QZSS02,2021-03-19 03:00:00,IODE,41.0
QZSS02,2021-03-19 03:00:00,Crs,821.6875
QZSS02,2021-03-19 03:00:00,DeltaN,1.77471678122e-09
QZSS02,2021-03-19 03:00:00,M0,-3.11701285324
QZSS02,2021-03-19 03:00:00,Cuc,2.469308674335e-05
QZSS02,2021-03-19 03:00:00,Eccentricity,0.07464484020602
QZSS02,2021-03-19 03:00:00,Cus,7.776543498039e-06
QZSS02,2021-03-19 03:00:00,sqrtA,6493.665880203
QZSS02,2021-03-19 03:00:00,Toe,442800.0
QZSS02,2021-03-19 03:00:00,Cic,2.644956111908e-07
QZSS02,2021-03-19 03:00:00,Omega0,1.72452734672
QZSS02,2021-03-19 03:00:00,Cis,-3.445893526077e-07
QZSS02,2021-03-19 03:00:00,Io,0.7417635493149
QZSS02,2021-03-19 03:00:00,Crc,-112.5
QZSS02,2021-03-19 03:00:00,omega,-1.566658669279
QZSS02,2021-03-19 03:00:00,OmegaDot,-2.462602577282e-09
QZSS02,2021-03-19 03:00:00,IDOT,1.85722021782e-11
QZSS02,2021-03-19 03:00:00,CodesL2,2.0
QZSS02,2021-03-19 03:00:00,GPSWeek,2149.0
QZSS02,2021-03-19 03:00:00,L2Pflag,0.0
